date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,total_precipitation_sum,surface_pressure_mean,surface_net_thermal_radiation_mean,surface_net_solar_radiation_mean,potential_evaporation_sum_ERA5_LAND,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,dewpoint_temperature_2m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean
1951-01-01,7.2,-0.25,-3.02,0.81,95.68,-64.91,67.05,2.38,-0.64,-2.55,-7.42,0.18,0.19,0.21,0.24
1951-01-02,-0.64,-3.55,-7.58,9.25,95.59,-48.6,57.77,1.4,0.38,-2.62,-7.66,0.19,0.19,0.21,0.24
1951-01-03,2.02,-5.69,-14.33,0.0,95.1,-67.2,63.95,1.32,0.89,1.63,-9.59,0.19,0.19,0.21,0.24
1951-01-04,3.17,-1.43,-6.14,0.0,96.36,-78.29,71.98,1.15,-0.08,0.25,-5.62,0.2,0.19,0.21,0.24
1951-01-05,-0.31,-4.18,-7.39,0.03,96.54,-61.51,67.03,1.4,-0.45,-2.51,-7.52,0.2,0.19,0.21,0.24
1951-01-06,-5.83,-8.92,-14.16,0.64,97.72,-50.3,59.29,1.43,0.34,-2.04,-13.57,0.2,0.19,0.21,0.24
1951-01-07,2.04,-6.56,-14.77,0.0,97.4,-82.31,77.56,1.86,2.49,-1.36,-12.44,0.2,0.19,0.21,0.24
1951-01-08,3.22,-5.42,-12.24,0.0,96.52,-86.33,82.77,1.85,2.3,1.94,-11.74,0.2,0.19,0.21,0.24
1951-01-09,3.17,-3.31,-7.64,0.0,95.59,-64.33,61.3,1.32,1.02,-0.5,-11.24,0.21,0.19,0.21,0.24
1951-01-10,3.41,-1.23,-4.38,0.0,96.63,-87.14,88.4,2.06,2.06,-1.53,-8.2,0.21,0.19,0.21,0.24
1951-01-11,6.19,0.15,-4.9,0.1,96.1,-63.28,67.05,3.35,-1.57,3.99,-8.68,0.21,0.19,0.21,0.24
1951-01-12,4.87,-0.34,-4.67,0.0,95.94,-79.44,87.27,1.34,0.58,0.86,-5.24,0.22,0.19,0.21,0.24
1951-01-13,2.38,-1.62,-5.4,3.02,96.47,-35.25,34.0,0.8,1.02,-1.6,-5.52,0.23,0.19,0.21,0.24
1951-01-14,4.74,-0.68,-6.01,0.06,96.08,-79.71,87.97,2.01,3.0,-0.98,-6.65,0.23,0.19,0.21,0.24
1951-01-15,7.21,2.44,-0.61,0.0,96.56,-88.43,91.32,2.63,2.67,-0.65,-5.4,0.24,0.2,0.21,0.24
