gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camels_06037500,Madison River near West Yellowstone MT,United States of America,44.65687,-111.06827,1125.1211688378403
camels_06043500,Gallatin River near Gallatin Gateway MT,United States of America,45.49743,-111.27051,2116.029689893054
camels_06154410,Little Peoples Creek near Hays MT,United States of America,47.9661,-108.66071,47.52721803184206
camels_06188000,"LAMAR RIVER NR TOWER FALLS RANGER STATION, YNP",United States of America,44.92772,-110.39381,1726.6558786596588
camels_06191500,Yellowstone River at Corwin Springs MT,United States of America,45.11188,-110.79438,6793.097713186935
camels_06221400,"DINWOODY CREEK ABOVE LAKES, NEAR BURRIS, WYO.",United States of America,43.34551,-109.41014,231.46101170566303
camels_06224000,"BULL LAKE CREEK ABOVE BULL LAKE, WY",United States of America,43.1769,-109.20291,484.7675348183698
camels_06278300,"SHELL CREEK ABOVE SHELL CREEK RESERVOIR, WY",United States of America,44.50802,-107.40369,59.12551730241147
camels_06280300,"SOUTH FORK SHOSHONE RIVER NEAR VALLEY, WY",United States of America,44.20828,-109.55489,792.6119345452969
camels_06289000,Little Bighorn River at State Line nr Wyola MT,United States of America,45.00691,-107.61509,471.1037957693612
camels_06291500,Lodge Grass Cr ab Willow C Div nr Wyola MT,United States of America,45.12644,-107.60054,220.21096266211228
camels_06311000,"NORTH FORK POWDER RIVER NEAR HAZELTON, WY",United States of America,44.02774,-107.08089,62.97071363893178
camels_06332515,"BEAR DEN CREEK NR MANDAREE, ND",United States of America,47.78724,-102.76853,191.17437457776285
camels_06339100,"KNIFE RIVER AT MANNING, ND",United States of America,47.23613,-102.76991,528.2812277528319
camels_06339500,"KNIFE RIVER NR GOLDEN VALLEY, ND",United States of America,47.15445,-102.05989,3153.063153377629
camels_06344600,"GREEN RIVER NR NEW HRADEC, ND",United States of America,47.02779,-103.05324,407.8884601322196
camels_06350000,"CANNONBALL RIVER AT REGENT, ND",United States of America,46.42667,-102.55183,1502.923592036562
camels_06352000,"CEDAR CREEK NR HAYNES, ND",United States of America,46.15417,-102.47405,1439.3396849192304
camels_06353000,"CEDAR CREEK NR RALEIGH, ND",United States of America,46.09167,-101.33374,4593.526217606494
camels_06354000,"CANNONBALL RIVER AT BREIEN, ND",United States of America,46.37611,-100.93444,10600.22410691772
camels_06360500,MOREAU R NEAR WHITEHORSE SD,United States of America,45.25582,-100.84292,12572.50969465809
camels_06404000,BATTLE CR NEAR KEYSTONE SD,United States of America,43.87249,-103.33658,151.4998288627278
