gauge_id,aridity_ERA5_LAND,aridity_FAO_PM,frac_snow,high_prec_dur,high_prec_freq,low_prec_dur,low_prec_freq,moisture_index_ERA5_LAND,moisture_index_FAO_PM,p_mean,pet_mean_ERA5_LAND,pet_mean_FAO_PM,seasonality_ERA5_LAND,seasonality_FAO_PM
camels_06037500,5.274816,0.7762319,0.5699941,1.150812,0.03394935,3.5232913,0.55393565,-0.5273175,0.30154303,2.3044538,12.155569,1.7887906,1.4211197,1.6673762
camels_06043500,6.0298057,0.8070375,0.46458358,1.1226667,0.02881588,3.049474,0.5357974,-0.6884164,0.33100358,2.2575586,13.612639,1.8219343,0.8295985,1.531222
camels_06154410,9.383102,1.8077452,0.2529549,1.253833,0.050376456,5.2000947,0.75242984,-0.87653077,-0.19951788,1.2831944,12.040345,2.3196886,0.13439307,1.2886239
camels_06188000,4.768318,0.74804646,0.64068115,1.1135135,0.028199863,3.1098547,0.52703625,-0.5138498,0.31467503,2.2309124,10.6377,1.6688261,1.4115757,1.6258664
camels_06191500,5.117477,0.76240665,0.56182325,1.1171429,0.026762491,3.2148519,0.5274469,-0.5509189,0.30659905,2.2442217,11.484754,1.7110096,1.3203814,1.6435939
camels_06221400,2.1828272,0.74520326,0.6548642,1.1857451,0.037577003,3.4723558,0.5932238,-0.1935267,0.38340792,1.9208343,4.1928496,1.4314121,1.4251404,1.4339892
camels_06224000,4.0360403,0.7884694,0.520843,1.199074,0.035455167,3.254863,0.56119096,-0.6146075,0.3453866,2.1730726,8.770609,1.7134011,0.74942845,1.3639679
camels_06278300,5.526884,0.7862524,0.48576695,1.1982758,0.038056128,2.927478,0.5498289,-0.74279076,0.3444758,2.4839725,13.728628,1.9530294,0.40247536,1.2837774
camels_06280300,3.599502,0.72367716,0.6110726,1.1639785,0.029637234,3.2005708,0.53737164,-0.4169522,0.35330287,2.1925223,7.8919883,1.5866783,1.4751852,1.5477678
camels_06289000,6.4214015,0.8865481,0.42038292,1.2188184,0.038124572,3.1476889,0.57330596,-0.77246606,0.28324398,2.2981637,14.757431,2.0374327,0.39575052,1.4763494
camels_06291500,5.2217546,0.883598,0.29692966,1.1988304,0.042094454,3.3099017,0.59945244,-0.7364749,0.28353113,2.239731,11.695325,1.9790219,0.40676153,1.4872172
camels_06311000,8.1693535,1.0839988,0.38508946,1.2262156,0.039698835,3.370356,0.59609854,-0.83455616,0.1792126,1.9297235,15.764594,2.0918179,0.23174399,1.381
camels_06332515,3.0827699,1.5279529,0.21883294,1.2374214,0.053867213,5.1945615,0.75838464,-0.5102328,-0.07858629,1.4368685,4.4295354,2.1954675,1.0519576,1.2600542
camels_06339100,2.9461248,1.5826339,0.21699156,1.2492063,0.053867213,5.0687904,0.7514716,-0.5197905,-0.12925738,1.4513607,4.27589,2.2969725,0.8877229,1.136371
camels_06339500,2.8758643,1.5582217,0.21983337,1.245283,0.054209445,5.186585,0.75154006,-0.5134585,-0.12177473,1.4620692,4.2047124,2.278228,0.85450226,1.1068599
camels_06344600,3.0198894,1.6552321,0.21891122,1.2424242,0.053319644,5.1669784,0.7561259,-0.53367776,-0.16206993,1.4060622,4.2461524,2.3273594,0.8493465,1.1135428
camels_06350000,2.9602098,1.6172619,0.21753345,1.2662338,0.05338809,5.1676817,0.7551677,-0.5574625,-0.16969353,1.4375004,4.2553024,2.3248146,0.66289556,1.0281229
camels_06352000,3.191338,1.6287268,0.21559025,1.2564934,0.052977413,5.1873527,0.7523614,-0.611695,-0.18505295,1.4439151,4.6080213,2.3517432,0.48232868,0.98409986
camels_06353000,3.1403258,1.6072593,0.2167151,1.2821782,0.05318275,5.1702127,0.74845994,-0.60036993,-0.16580118,1.4653738,4.601751,2.3552353,0.49045843,1.0114727
camels_06354000,3.0370352,1.5742285,0.21780503,1.2852459,0.053661875,5.115854,0.74654347,-0.5762009,-0.14444095,1.478974,4.491696,2.328243,0.5731945,1.0442722
camels_06360500,3.133929,1.7192794,0.11244895,1.2868719,0.054346338,5.3194375,0.7511294,-0.5976873,-0.21824238,1.4278057,4.4746413,2.4547968,0.47650033,1.0182419
camels_06404000,8.86012,1.0598475,0.08957709,1.2487135,0.049828883,3.8656778,0.6421629,-0.8941099,0.052437138,2.2007592,19.49899,2.3324687,0.12374012,0.7489305
camels_06406000,7.915461,1.136266,0.09188943,1.2649573,0.05065024,4.0374265,0.65715265,-0.88003373,0.003007153,2.0458632,16.193949,2.3246448,0.13572648,0.78929293
camels_06408700,7.959187,0.98699516,0.23633938,1.2166667,0.044969197,3.309306,0.5939083,-0.86152804,0.19274549,2.2938323,18.25704,2.2640014,0.09585812,1.1373961
camels_06409000,8.606919,1.0664396,0.23184232,1.2330276,0.045995895,3.5105882,0.612731,-0.87264144,0.14307922,2.111853,18.176546,2.2521636,0.090702765,1.1479269
camels_06431500,8.132068,0.9685688,0.2504151,1.1893382,0.044284735,3.2751026,0.60054755,-0.86643,0.20245361,2.3751903,19.315208,2.3005352,0.104794204,1.166523
camels_06440200,3.270712,1.7774771,0.10908796,1.257319,0.055852156,5.5073385,0.77049965,-0.6413908,-0.28962412,1.4670117,4.7981725,2.6075797,0.36394542,0.88107413
camels_06441500,3.1373436,1.6812812,0.10700939,1.2564102,0.057015743,5.248806,0.75229293,-0.61961335,-0.22809848,1.5473956,4.854712,2.601607,0.4003835,0.9715789
camels_06447000,3.4931588,1.6740073,0.11402522,1.2516234,0.052772075,5.028545,0.73552364,-0.6728559,-0.2535292,1.5406427,5.3817096,2.5790472,0.3021198,0.8900192
