date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,total_precipitation_sum,surface_pressure_mean,surface_net_thermal_radiation_mean,surface_net_solar_radiation_mean,potential_evaporation_sum_ERA5_LAND,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,dewpoint_temperature_2m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean
1951-01-01,4.62,-3.52,-11.51,0.0,98.67,-59.79,70.79,9.3,-0.11,2.45,-7.97,0.39,0.39,0.39,0.38
1951-01-02,7.93,3.99,0.63,5.23,98.19,-18.84,47.45,11.54,0.19,2.91,-0.6,0.4,0.39,0.39,0.38
1951-01-03,11.07,9.45,5.87,27.71,97.05,-1.98,10.75,1.69,0.79,4.1,9.39,0.43,0.43,0.41,0.38
1951-01-04,9.46,2.08,-0.77,7.25,97.77,-29.05,36.02,10.56,3.25,1.29,-1.46,0.42,0.42,0.42,0.39
1951-01-05,6.36,1.47,-1.85,0.0,98.73,-69.56,85.96,7.31,0.21,1.33,-2.84,0.41,0.41,0.42,0.39
1951-01-06,5.79,2.17,-0.69,0.54,98.3,-25.74,28.58,5.76,0.81,0.08,-0.58,0.4,0.41,0.42,0.39
1951-01-07,-0.99,-4.06,-7.71,7.93,97.89,-23.34,31.59,9.2,0.83,-3.16,-8.16,0.4,0.4,0.41,0.39
1951-01-08,-6.74,-9.38,-12.25,0.23,98.0,-73.26,65.05,8.06,2.62,0.02,-15.41,0.39,0.4,0.41,0.39
1951-01-09,0.53,-6.08,-11.79,0.0,98.44,-84.82,85.56,10.04,1.09,2.79,-11.48,0.39,0.39,0.41,0.39
1951-01-10,4.07,-0.79,-4.21,3.66,98.19,-49.21,51.24,6.66,0.75,2.5,-3.8,0.39,0.39,0.41,0.39
1951-01-11,0.26,-1.09,-6.07,5.09,98.05,-36.23,45.19,4.01,1.98,0.38,-2.56,0.39,0.39,0.41,0.39
1951-01-12,0.82,-5.66,-12.03,0.0,98.93,-79.98,70.66,5.09,0.79,-0.47,-8.52,0.39,0.39,0.41,0.4
1951-01-13,0.91,-4.93,-10.24,0.0,99.1,-51.93,52.03,5.58,-2.1,0.14,-8.58,0.39,0.39,0.4,0.4
1951-01-14,7.42,3.5,-1.1,32.34,97.09,0.87,7.43,1.63,-0.78,2.51,2.75,0.42,0.41,0.41,0.4
1951-01-15,6.56,-0.67,-2.18,7.52,96.48,-21.01,37.83,7.65,3.66,-0.33,-3.29,0.42,0.42,0.42,0.4
1951-01-16,-0.11,-2.53,-3.81,0.26,98.08,-54.14,68.43,8.72,2.42,0.51,-6.22,0.41,0.41,0.42,0.4
1951-01-17,8.75,2.84,-2.08,0.16,97.58,-72.36,87.7,15.02,1.7,2.86,-2.49,0.41,0.41,0.42,0.4
1951-01-18,12.2,7.56,4.29,0.81,97.51,-21.43,43.01,3.0,1.26,2.25,6.37,0.42,0.41,0.42,0.4
1951-01-19,12.74,10.03,8.57,0.2,97.71,-23.92,35.09,3.46,1.11,2.58,8.88,0.42,0.42,0.42,0.4
