gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camels_03010655,"Oswayo Creek at Shinglehouse, PA",United States of America,41.96173,-78.19807,254.65933771193843
camels_03011800,"Kinzua Creek near Guffey, PA",United States of America,41.76645,-78.71864,100.89720060691312
camels_03015500,"Brokenstraw Creek at Youngsville, PA",United States of America,41.85256,-79.31727,830.3203780196909
camels_03021350,"French Creek near Wattsburg, PA",United States of America,42.01533,-79.78255,248.34596502559185
camels_03026500,"Sevenmile Run near Rasselas, PA",United States of America,41.63117,-78.57669,20.27469159185711
camels_03028000,"West Branch Clarion River at Wilcox, PA",United States of America,41.57534,-78.69225,165.62528324405304
camels_03049000,"Buffalo Creek near Freeport, PA",United States of America,40.7159,-79.69949,355.91799121890267
camels_03049800,"Little Pine Creek near Etna, PA",United States of America,40.52035,-79.93811,16.04909579362564
camels_03050000,"TYGART VALLEY RIVER NEAR DAILEY, WV",United States of America,38.80927,-79.88173,489.0865581310839
camels_03066000,"BLACKWATER R AT DAVIS, WV",United States of America,39.12705,-79.46838,224.8394193036125
camels_03069500,"CHEAT RIVER NEAR PARSONS, WV",United States of America,39.12288,-79.68117,1851.584563924462
camels_03070500,"BIG SANDY CREEK AT ROCKVILLE, WV",United States of America,39.61564,-79.70477,517.932839103192
camels_03076600,"BEAR CREEK AT FRIENDSVILLE, MD",United States of America,39.65614,-79.39411,128.07037176889028
camels_03078000,"CASSELMAN RIVER AT GRANTSVILLE, MD",United States of America,39.70219,-79.13639,165.0626320363916
camels_03140000,Mill Creek near Coshocton OH,United States of America,40.36285,-81.86236,71.31633418778175
camels_03144000,Wakatomika Creek near Frazeysburg OH,United States of America,40.13257,-82.14792,364.688831529089
camels_03159540,Shade River near Chester OH,United States of America,39.06369,-81.8818,400.3036706154372
camels_03161000,"SOUTH FORK NEW RIVER NEAR JEFFERSON, NC",United States of America,36.39333,-81.40694,533.493945472224
camels_03164000,"NEW RIVER NEAR GALAX, VA",United States of America,36.64735,-80.97897,2963.305976920179
camels_03165000,"CHESTNUT CREEK AT GALAX, VA",United States of America,36.64596,-80.91924,117.4384212313146
camels_03170000,"LITTLE RIVER AT GRAYSONTOWN, VA",United States of America,37.03763,-80.55672,800.0121855125166
camels_03173000,"WALKER CREEK AT BANE, VA",United States of America,37.26818,-80.70951,775.7652905163629
camels_03180500,"GREENBRIER RIVER AT DURBIN, WV",United States of America,38.54373,-79.83312,346.14957464623893
camels_03182500,"GREENBRIER RIVER AT BUCKEYE, WV",United States of America,38.18595,-80.13062,1364.2032285559424
camels_03186500,"WILLIAMS RIVER AT DYER, WV",United States of America,38.379,-80.48397,331.5481426604806
camels_03187500,"CRANBERRY RIVER NEAR RICHWOOD, WV",United States of America,38.29539,-80.52648,207.8761915413909
camels_03213700,"TUG FORK AT WILLIAMSON, WV",United States of America,37.67316,-82.28014,2429.653575437966
camels_03237280,Upper Twin Creek at McGaw OH,United States of America,38.64369,-83.21574,33.1618535103466
camels_03237500,Ohio Brush Creek near West Union OH,United States of America,38.80368,-83.42102,1000.4353487789718
camels_03238500,White Oak Creek near Georgetown OH,United States of America,38.85813,-83.92854,563.552241578934
camels_03241500,Massies Creek at Wilberforce OH,United States of America,39.72284,-83.88271,173.0365135934899
camels_03280700,"CUTSHIN CREEK AT WOOTON, KY",United States of America,37.16509,-83.30796,158.71500443056064
camels_03281100,"GOOSE CREEK AT MANCHESTER, KY",United States of America,37.15203,-83.7602,425.1880115888037
camels_03281500,"SOUTH FORK KENTUCKY RIVER AT BOONEVILLE, KY",United States of America,37.47981,-83.67519,1835.962691719392
camels_03285000,"DIX RIVER NEAR DANVILLE, KY",United States of America,37.64202,-84.66078,823.1202671292644
camels_03291780,"INDIAN-KENTUCK CREEK NR CANAAN, IND.",United States of America,38.87811,-85.25718,71.4215904548886
camels_03300400,"BEECH FORK AT MAUD, KY",United States of America,37.83284,-85.29607,1128.3199875704952
camels_03338780,"NORTH FORK VERMILION RIVER NEAR BISMARCK, IL",United States of America,40.26531,-87.6428,691.3792808457737
camels_03340800,BIG RACCOON CREEK NEAR FINCASTLE IND,United States of America,39.81255,-86.9539,363.1293212034208
camels_03346000,"NORTH FORK EMBARRAS RIVER NEAR OBLONG, IL",United States of America,39.01004,-87.94559,828.1884460926823
camels_03357350,"PLUM CREEK NEAR BAINBRIDGE, IND.",United States of America,39.76171,-86.72945,26.081280747865925
camels_03364500,"CLIFTY CREEK AT HARTSVILLE, IN",United States of America,39.27477,-85.70165,242.0094029157117
camels_03366500,"MUSCATATUCK RIVER NEAR DEPUTY, IN",United States of America,38.80422,-85.67386,762.0792350202614
camels_03368000,"BRUSH CREEK NEAR NEBRASKA, IN",United States of America,39.07033,-85.48608,32.48820271238329
camels_03384450,"LUSK CREEK NEAR EDDYVILLE, IL",United States of America,37.47227,-88.54727,112.34453896897912
