gauge_id,aridity_ERA5_LAND,aridity_FAO_PM,frac_snow,high_prec_dur,high_prec_freq,low_prec_dur,low_prec_freq,moisture_index_ERA5_LAND,moisture_index_FAO_PM,p_mean,pet_mean_ERA5_LAND,pet_mean_FAO_PM,seasonality_ERA5_LAND,seasonality_FAO_PM
camels_03010655,4.297246,0.589269,0.29453248,1.0933334,0.044900753,2.6892977,0.5503765,-0.73075503,0.4405753,3.0863519,13.262814,1.8186913,0.30866674,0.99752474
camels_03011800,3.7297397,0.53556645,0.29457197,1.08,0.042505134,2.5965679,0.52819985,-0.69116473,0.4932388,3.4482787,12.861181,1.8467823,0.359128,0.88789517
camels_03015500,3.3587658,0.49384147,0.21937291,1.0661478,0.037508555,2.4861975,0.49315536,-0.65518653,0.533922,3.8199055,12.830169,1.8864278,0.42186457,0.81678295
camels_03021350,3.4613416,0.49547908,0.22186935,1.0708333,0.03518138,2.4849124,0.48473647,-0.6716488,0.5298203,3.9129891,13.544191,1.9388043,0.36280245,0.8178922
camels_03026500,3.729406,0.5399979,0.29416245,1.0764006,0.043394934,2.6268907,0.5349076,-0.6926862,0.4895739,3.4403257,12.830373,1.8577687,0.34813038,0.8944974
camels_03028000,3.7100363,0.53144234,0.21858755,1.077187,0.04298426,2.6155143,0.5308008,-0.68984264,0.4963419,3.4949508,12.966394,1.8573648,0.35995224,0.8820929
camels_03049000,3.4293158,0.5586929,0.2152953,1.0889968,0.04606434,2.807745,0.5607803,-0.67760116,0.47074953,3.555924,12.1943865,1.9866694,0.32267067,0.8616786
camels_03049800,3.461681,0.59038085,0.14016072,1.0984615,0.048870638,2.8492963,0.568104,-0.6830196,0.439418,3.5378015,12.24674,2.0886502,0.31920552,0.9276327
camels_03050000,2.8814304,0.47351018,0.23879607,1.1004465,0.03374401,2.4611824,0.47303218,-0.6208091,0.5383237,4.2971063,12.381812,2.0347235,0.38479227,0.75329906
camels_03066000,2.9219885,0.57165724,0.23346502,1.1057693,0.039356604,2.6769016,0.5251198,-0.6224451,0.4429868,3.617362,10.56989,2.0678911,0.38644505,0.90922165
camels_03069500,3.2848814,0.54575753,0.23717095,1.1026157,0.037508555,2.5845938,0.5029432,-0.66742396,0.46662062,3.7809083,12.419835,2.0634592,0.32400373,0.8660153
camels_03070500,3.6536677,0.5479679,0.24770741,1.0955166,0.038466804,2.6259966,0.51854897,-0.699751,0.45429984,3.723202,13.603343,2.040195,0.33314595,0.9735196
camels_03076600,3.0205739,0.5473587,0.24081506,1.1023166,0.03908282,2.632092,0.5175907,-0.6300413,0.45847574,3.6765826,11.105389,2.0124092,0.43038443,0.97782314
camels_03078000,3.1024833,0.5805218,0.23172908,1.1001757,0.042847365,2.7651992,0.5416838,-0.64197755,0.43439227,3.4813976,10.800978,2.0210273,0.38886324,0.9848363
camels_03140000,5.5062675,0.7020586,0.1463262,1.113293,0.0504449,3.1652513,0.6122519,-0.79727006,0.32837558,3.0703156,16.905977,2.1555414,0.2352718,1.102355
camels_03144000,5.4278455,0.70338756,0.14636639,1.1255605,0.05154004,3.2412186,0.6189596,-0.7938684,0.3252726,3.0806866,16.72149,2.1669166,0.2469386,1.121121
camels_03159540,4.878009,0.68120664,0.07068422,1.1313432,0.05188227,3.2275836,0.6134839,-0.77863747,0.3378866,3.3432813,16.308556,2.2774653,0.21397172,1.0491487
camels_03161000,3.8553865,0.5840126,0.0,1.1699463,0.04476386,3.159786,0.5657769,-0.7262814,0.4353367,3.8933177,15.010243,2.2737467,0.2139074,0.7373153
camels_03164000,4.4086304,0.6441846,0.0,1.1497418,0.04572211,3.2252495,0.5752909,-0.75999844,0.37697527,3.527206,15.550147,2.2721717,0.18977793,0.8335003
camels_03165000,5.1811876,0.7187885,0.0,1.1558245,0.05229295,3.613834,0.62580425,-0.7966739,0.30809158,3.2411656,16.793087,2.3297126,0.15469274,0.9327514
camels_03170000,5.4533353,0.73843336,0.0,1.1669242,0.051676933,3.5447154,0.626694,-0.8079559,0.29321983,3.1908638,17.40085,2.3562403,0.13982227,0.9170099
camels_03173000,5.3215113,0.7564948,0.075907074,1.1663893,0.047980834,3.2551546,0.6051335,-0.8009212,0.27249542,2.9478378,15.686952,2.2300239,0.16139726,0.9740131
camels_03180500,3.368353,0.55212146,0.2335717,1.1193181,0.040451746,2.6438115,0.5146475,-0.6744872,0.4640359,3.7426407,12.606535,2.0663922,0.3196604,0.8409775
camels_03182500,3.491351,0.55504066,0.23641515,1.1346864,0.042094454,2.7181304,0.52539355,-0.68551576,0.45707807,3.7001574,12.918548,2.0537379,0.31887573,0.8762183
camels_03186500,2.9149086,0.48795837,0.23839629,1.1155462,0.036344968,2.5051472,0.4830253,-0.6240059,0.5240792,4.215187,12.286884,2.0568357,0.3928031,0.78412104
